title,company,job_category,experience,salary,location,tech_stack
(주)제주반도체 PQA팀 신입사원 채용(제주 근무),(주)제주반도체,백엔드,신입,회사내규에 따름,제주,[]
[정규직] AI 개발자 (Python 개발),(주)퀸텟시스템즈,백엔드,신입,회사내규에 따름,서울,"['AWS', 'Docker', 'Git', 'Java', 'JavaScript', 'Kubernetes', 'MySQL', 'Node.js', 'PostgreSQL', 'Python', 'SQL', 'Spring']"
"[신입, 경력] 자바(JAVA) 개발 엔지니어 직원 채용",라온웍스(주),백엔드,신입/경력,회사내규에 따름,서울,"['Java', 'React', 'Vue.js']"
[싸이웰시스템] AI 데이터·RAG 파이프라인/플랫폼 엔지니어,(주)싸이웰시스템,백엔드,신입,회사내규에 따름,서울,"['Docker', 'Python']"
"(주)아이앤텍(서울) 전자고지 솔루션 개발, 유지관리(개발자) 모",(주)아이앤텍,백엔드,신입/경력,회사내규에 따름,서울,"['Git', 'JPA', 'Java', 'JavaScript', 'Linux', 'MySQL', 'SQL', 'Spring']"
[매그넷] IT 기술영업직 신입/경력 채용,(주)매그넷,백엔드,신입/경력,회사내규에 따름,서울,[]
"[Yanolja NEXT] Software Engineer -Intern (3개월, 채용연계형)",(주)야놀자,백엔드,신입,회사내규에 따름,서울,[]
[NHN Injeinc] DevOps 엔지니어 모집,엔에이치엔인재아이엔씨(주),백엔드,신입/경력,회사내규에 따름,서울,['Kubernetes']
[세종/신입가능]네이버 데이터센터 서버관리(유지보수) 채용,(주)아데코코리아,백엔드,신입,월급 250만원,"세종특별자치시,",[]
㈜리얼타임테크 SW 개발 신입/경력 채용,(주)리얼타임테크,백엔드,신입/경력,회사내규에 따름,대전,[]
함께 일하실 웹사이트(홈페이지) 개발자를 모십니다.,(주)굳프렌즈,백엔드,신입,회사내규에 따름,서울,"['AWS', 'JavaScript', 'React', 'Vue.js']"
"서버관제 채용(상암동, 경력무관)",(주)엔텍정보통신,백엔드,신입,연봉 3000만원,서울,[]
2025년 개발직 신입 및 경력사원 채용,(주)퓨전소프트,백엔드,신입/경력,회사내규에 따름,대구,[]
연구소 플랫폼개발팀 S/W 부문 신입/경력 모집,(주)바질컴퍼니,백엔드,신입,회사내규에 따름,경남,"['Git', 'Java', 'JavaScript', 'Linux', 'Python']"
[다산캠퍼스 근무] (주) 동녘에서 개발 인력을 모집합니다.,(주)동녘,백엔드,신입/경력,연봉 3000만원,남양주지도,['Spring']
AI 백엔드 개발자 모집,앵글컴퍼니(주),백엔드,신입,회사내규에 따름,서울,"['AWS', 'Docker', 'Java', 'Linux', 'PostgreSQL', 'Python', 'SQL']"
스마트물류 분야 기획 및 개발자 채용(기술연구소),(주)심플소프트랩,백엔드,신입,회사내규에 따름,경남,[]
제품개발연구소 SW개발자 채용 모집,주식회사 비카누스,백엔드,신입,회사내규에 따름,성남,"['Java', 'Python']"
[네이버] LIVE 서비스 운영 및 관제 신입 정규직 채용,(주)엠브레이스,백엔드,신입/경력,연봉 2800만원,서울,[]
[경력무관] 웹 어플리케이션 개발자 모집,(주)투곰스,백엔드,신입,회사내규에 따름,경남,[]
[대구] Java 자바 백엔드 개발자 채용,(주)드림아이디어소프트,백엔드,신입,회사내규에 따름,대구,"['Java', 'SQL']"
UAM/드론 항공관제 및 통합운영 소프트웨어(C++/C#) 개발자 채용,(주)유니텍,백엔드,신입,회사내규에 따름,서울,['Linux']
